BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Broker C,Townhouse,540097,3,1,4382,324 Main St,TX,324 Main St,County C,City C,District C,Oak Ave,Property 324,"324 Main St, City A, CA",38.09150243482742,-122.10842697861696
Broker C,Single Family,408557,4,4,3721,325 Main St,TX,325 Main St,County A,City B,District B,Main St,Property 325,"325 Main St, City A, CA",38.1750552728654,-122.31973607792322
Broker B,Condo,237084,1,3,4891,326 Main St,NY,326 Main St,County A,City A,District C,Oak Ave,Property 326,"326 Main St, City A, CA",37.92539549807259,-122.1469328159669
Broker A,Single Family,805475,4,4,2887,327 Main St,FL,327 Main St,County A,City A,District A,Main St,Property 327,"327 Main St, City A, CA",38.27847007440356,-121.58761469981484
Broker B,Townhouse,893583,4,3,1441,328 Main St,WA,328 Main St,County C,City B,District C,Main St,Property 328,"328 Main St, City A, CA",38.57654258983137,-121.43892920221693
Broker A,Single Family,682004,1,1,3066,329 Main St,TX,329 Main St,County B,City A,District C,Oak Ave,Property 329,"329 Main St, City A, CA",38.2164340103789,-121.92555298525843
Broker C,Townhouse,980179,3,3,1475,330 Main St,FL,330 Main St,County A,City B,District B,Oak Ave,Property 330,"330 Main St, City A, CA",38.265513575898204,-122.40969964507696
Broker A,Townhouse,848013,4,4,1454,331 Main St,WA,331 Main St,County A,City B,District C,Pine Blvd,Property 331,"331 Main St, City A, CA",38.62366758528132,-122.27935518786576
Broker A,Single Family,791738,2,2,1762,332 Main St,WA,332 Main St,County A,City B,District B,Oak Ave,Property 332,"332 Main St, City A, CA",38.480958114638035,-122.09731942468373
Broker A,Townhouse,798012,1,3,1443,333 Main St,TX,333 Main St,County B,City C,District B,Pine Blvd,Property 333,"333 Main St, City A, CA",38.265354408519784,-121.84081465140704
Broker C,Condo,303502,5,3,2702,334 Main St,TX,334 Main St,County B,City B,District C,Oak Ave,Property 334,"334 Main St, City A, CA",38.03259564818918,-122.34430635419469
Broker C,Townhouse,244539,3,1,3827,335 Main St,NY,335 Main St,County C,City A,District A,Oak Ave,Property 335,"335 Main St, City A, CA",38.65982674684497,-121.47604270129011
Broker A,Condo,524226,1,4,4774,336 Main St,FL,336 Main St,County B,City C,District B,Oak Ave,Property 336,"336 Main St, City A, CA",38.35192040169056,-122.0543163267156
Broker A,Condo,621863,5,3,2759,337 Main St,FL,337 Main St,County C,City A,District C,Oak Ave,Property 337,"337 Main St, City A, CA",37.99604761011069,-121.50681578207518
Broker B,Townhouse,221999,5,3,2328,338 Main St,TX,338 Main St,County C,City C,District B,Pine Blvd,Property 338,"338 Main St, City A, CA",38.044019752638015,-121.63887819724297
Broker A,Single Family,214793,4,3,1757,339 Main St,WA,339 Main St,County C,City C,District A,Pine Blvd,Property 339,"339 Main St, City A, CA",38.57803308893625,-121.66396272748442
Broker B,Condo,557373,4,3,964,340 Main St,TX,340 Main St,County C,City C,District A,Oak Ave,Property 340,"340 Main St, City A, CA",37.81904556208746,-121.81268042021776
Broker A,Single Family,470321,4,2,3794,341 Main St,WA,341 Main St,County C,City C,District B,Oak Ave,Property 341,"341 Main St, City A, CA",38.76699218702882,-121.79261618294815
Broker B,Condo,112289,1,4,1730,342 Main St,WA,342 Main St,County A,City A,District A,Pine Blvd,Property 342,"342 Main St, City A, CA",37.905251679714794,-121.78139676478375
Broker C,Townhouse,800336,1,1,3154,343 Main St,TX,343 Main St,County B,City B,District C,Main St,Property 343,"343 Main St, City A, CA",38.57096852539694,-121.79067861297442
Broker A,Townhouse,798956,3,1,1384,344 Main St,CA,344 Main St,County A,City A,District C,Main St,Property 344,"344 Main St, City A, CA",38.16967531677169,-121.86567176860163
Broker A,Condo,855801,4,2,4305,345 Main St,FL,345 Main St,County C,City B,District B,Main St,Property 345,"345 Main St, City A, CA",38.26711618328747,-121.4329859815171
Broker A,Townhouse,357368,5,4,4356,346 Main St,WA,346 Main St,County B,City A,District A,Pine Blvd,Property 346,"346 Main St, City A, CA",38.65555057746458,-121.6871094325743
Broker A,Condo,186365,2,3,3635,347 Main St,WA,347 Main St,County A,City C,District C,Pine Blvd,Property 347,"347 Main St, City A, CA",38.18781118958922,-121.64245361160748
Broker B,Townhouse,854950,3,2,1424,348 Main St,CA,348 Main St,County A,City C,District C,Main St,Property 348,"348 Main St, City A, CA",38.312393753673234,-121.54693718491632
Broker A,Single Family,275211,1,4,2046,349 Main St,NY,349 Main St,County C,City B,District C,Main St,Property 349,"349 Main St, City A, CA",37.82419966240917,-122.20376023727415
Broker C,Townhouse,279785,3,3,1594,350 Main St,CA,350 Main St,County A,City B,District B,Oak Ave,Property 350,"350 Main St, City A, CA",37.777247473867455,-122.33559584090493
Broker C,Single Family,172588,3,2,2911,351 Main St,CA,351 Main St,County A,City A,District B,Pine Blvd,Property 351,"351 Main St, City A, CA",38.01969987300173,-121.9365055634014
Broker A,Townhouse,163646,3,4,3117,352 Main St,WA,352 Main St,County A,City B,District C,Pine Blvd,Property 352,"352 Main St, City A, CA",38.45548309291877,-121.90531930438073
Broker C,Single Family,365798,3,1,1262,353 Main St,FL,353 Main St,County A,City A,District C,Main St,Property 353,"353 Main St, City A, CA",37.89616489335914,-121.59021822005008
Broker A,Townhouse,582238,2,1,2823,354 Main St,CA,354 Main St,County A,City B,District A,Main St,Property 354,"354 Main St, City A, CA",37.888661958804555,-121.97561642071766
Broker A,Single Family,905175,4,4,4645,355 Main St,NY,355 Main St,County C,City B,District A,Pine Blvd,Property 355,"355 Main St, City A, CA",38.1858606080359,-121.84854697445569
Broker C,Condo,934800,5,1,3275,356 Main St,TX,356 Main St,County C,City B,District A,Oak Ave,Property 356,"356 Main St, City A, CA",38.422737038608226,-121.89232906148654
Broker A,Condo,845385,3,4,3655,357 Main St,CA,357 Main St,County A,City C,District B,Main St,Property 357,"357 Main St, City A, CA",38.48697199224793,-122.38119721624261
Broker C,Single Family,829532,3,3,4470,358 Main St,CA,358 Main St,County C,City C,District C,Pine Blvd,Property 358,"358 Main St, City A, CA",37.953350674098374,-121.80418510340309
Broker B,Townhouse,219735,3,4,2540,359 Main St,NY,359 Main St,County C,City A,District B,Pine Blvd,Property 359,"359 Main St, City A, CA",37.854488147372045,-121.59135671422574
Broker A,Single Family,255683,4,3,1083,360 Main St,FL,360 Main St,County B,City B,District C,Oak Ave,Property 360,"360 Main St, City A, CA",38.715297033945546,-122.2618994519242
Broker B,Townhouse,732259,1,2,4831,361 Main St,CA,361 Main St,County A,City A,District A,Oak Ave,Property 361,"361 Main St, City A, CA",38.0355663825621,-121.8250682660734
Broker C,Condo,636437,1,4,2603,362 Main St,CA,362 Main St,County C,City B,District A,Main St,Property 362,"362 Main St, City A, CA",38.62824649760873,-121.82578945555358
Broker B,Townhouse,462246,2,2,2442,363 Main St,FL,363 Main St,County C,City C,District A,Main St,Property 363,"363 Main St, City A, CA",38.63839145046282,-122.25521503594364
Broker B,Condo,421333,1,1,4955,364 Main St,NY,364 Main St,County A,City C,District A,Main St,Property 364,"364 Main St, City A, CA",38.54742259176255,-122.29593642626926
Broker C,Townhouse,863264,3,3,609,365 Main St,CA,365 Main St,County B,City B,District C,Pine Blvd,Property 365,"365 Main St, City A, CA",37.94373360665257,-121.43934805702351
Broker B,Townhouse,957463,3,4,691,366 Main St,FL,366 Main St,County A,City B,District A,Main St,Property 366,"366 Main St, City A, CA",38.596701459254206,-122.02568083034696
Broker B,Townhouse,666956,3,2,1403,367 Main St,CA,367 Main St,County B,City C,District C,Pine Blvd,Property 367,"367 Main St, City A, CA",38.54415055924159,-122.19197827127647
Broker C,Single Family,506889,2,3,1361,368 Main St,TX,368 Main St,County A,City C,District C,Main St,Property 368,"368 Main St, City A, CA",38.37162299010622,-122.24807545554562
Broker B,Single Family,712492,3,3,1583,369 Main St,WA,369 Main St,County A,City A,District B,Oak Ave,Property 369,"369 Main St, City A, CA",38.11210203516895,-121.75179828641676
Broker C,Condo,311830,1,1,1149,370 Main St,TX,370 Main St,County A,City C,District A,Oak Ave,Property 370,"370 Main St, City A, CA",38.037408604266545,-121.80995470267271
Broker B,Condo,296501,4,1,4634,371 Main St,CA,371 Main St,County A,City B,District A,Pine Blvd,Property 371,"371 Main St, City A, CA",37.896789212080364,-121.77584787701258
Broker C,Single Family,516885,4,3,4111,372 Main St,NY,372 Main St,County B,City A,District B,Oak Ave,Property 372,"372 Main St, City A, CA",38.28465706690088,-122.33139397248854
Broker C,Condo,265140,5,3,1136,373 Main St,WA,373 Main St,County B,City B,District C,Pine Blvd,Property 373,"373 Main St, City A, CA",38.36016087550985,-121.52586541650156
Broker B,Single Family,844149,1,4,1536,374 Main St,TX,374 Main St,County C,City A,District A,Pine Blvd,Property 374,"374 Main St, City A, CA",38.13423899051579,-122.03013360319095
Broker B,Townhouse,240507,3,3,4631,375 Main St,FL,375 Main St,County A,City B,District C,Oak Ave,Property 375,"375 Main St, City A, CA",38.25025906768087,-122.10603059356964
Broker B,Condo,325160,4,4,2648,376 Main St,NY,376 Main St,County B,City C,District B,Pine Blvd,Property 376,"376 Main St, City A, CA",38.13841445736927,-121.95703855275225
Broker A,Condo,283321,1,3,4365,377 Main St,TX,377 Main St,County B,City B,District C,Oak Ave,Property 377,"377 Main St, City A, CA",38.415906057320704,-122.02933393425236
Broker A,Single Family,661672,4,1,3657,378 Main St,FL,378 Main St,County B,City A,District A,Main St,Property 378,"378 Main St, City A, CA",38.676159207796566,-121.55582299686085
Broker A,Condo,621998,3,4,4087,379 Main St,CA,379 Main St,County A,City B,District C,Main St,Property 379,"379 Main St, City A, CA",37.938820262046946,-121.4901390248021
Broker C,Condo,706217,4,2,3794,380 Main St,FL,380 Main St,County C,City A,District C,Oak Ave,Property 380,"380 Main St, City A, CA",38.15630880990312,-122.11594678355038
Broker B,Townhouse,700441,5,1,4761,381 Main St,TX,381 Main St,County B,City B,District A,Oak Ave,Property 381,"381 Main St, City A, CA",37.915768603950866,-121.55546419254004
Broker C,Condo,859416,5,4,2930,382 Main St,TX,382 Main St,County A,City C,District A,Oak Ave,Property 382,"382 Main St, City A, CA",38.399843770407834,-121.63787687046693
Broker A,Townhouse,175388,4,4,2379,383 Main St,CA,383 Main St,County B,City C,District C,Oak Ave,Property 383,"383 Main St, City A, CA",38.5037705094886,-121.48859232765524
Broker B,Single Family,655689,1,2,4466,384 Main St,FL,384 Main St,County B,City B,District C,Main St,Property 384,"384 Main St, City A, CA",38.706812732597456,-122.1736496878141
Broker C,Condo,618727,1,4,4213,385 Main St,FL,385 Main St,County C,City B,District B,Pine Blvd,Property 385,"385 Main St, City A, CA",38.053771926260964,-121.84244084987901
Broker B,Townhouse,827191,1,3,4626,386 Main St,CA,386 Main St,County B,City B,District A,Pine Blvd,Property 386,"386 Main St, City A, CA",38.72511120586543,-122.14485541525956
Broker C,Single Family,743791,4,2,4606,387 Main St,FL,387 Main St,County B,City A,District C,Main St,Property 387,"387 Main St, City A, CA",37.838162671820676,-121.59530550951563
Broker B,Condo,332601,1,1,2511,388 Main St,CA,388 Main St,County A,City B,District A,Pine Blvd,Property 388,"388 Main St, City A, CA",38.37791386336459,-122.41407580942894
Broker A,Single Family,227834,3,1,3873,389 Main St,NY,389 Main St,County A,City B,District B,Main St,Property 389,"389 Main St, City A, CA",37.83203271934333,-121.8545808371136
Broker A,Condo,134084,5,3,2643,390 Main St,TX,390 Main St,County C,City A,District C,Pine Blvd,Property 390,"390 Main St, City A, CA",38.668674187761944,-122.08019656872808
Broker B,Single Family,351459,3,1,3000,391 Main St,NY,391 Main St,County A,City C,District C,Oak Ave,Property 391,"391 Main St, City A, CA",38.304709057070056,-122.09671629292218
Broker C,Single Family,734929,1,4,1789,392 Main St,WA,392 Main St,County A,City B,District C,Oak Ave,Property 392,"392 Main St, City A, CA",38.4442483507628,-121.77449367613508
Broker A,Townhouse,205111,3,4,1947,393 Main St,WA,393 Main St,County C,City B,District A,Oak Ave,Property 393,"393 Main St, City A, CA",38.60647392591046,-121.567915550686
Broker A,Single Family,549042,1,3,3699,394 Main St,WA,394 Main St,County B,City C,District B,Main St,Property 394,"394 Main St, City A, CA",37.925210622483974,-121.81020460860667
Broker A,Condo,529667,4,1,2443,395 Main St,CA,395 Main St,County C,City C,District A,Main St,Property 395,"395 Main St, City A, CA",37.813491561938136,-121.56622702135327
Broker B,Condo,762587,3,1,3683,396 Main St,FL,396 Main St,County A,City A,District C,Pine Blvd,Property 396,"396 Main St, City A, CA",38.65378114591285,-122.15480288811897
Broker B,Townhouse,262982,4,3,3716,397 Main St,NY,397 Main St,County C,City B,District B,Pine Blvd,Property 397,"397 Main St, City A, CA",38.08983322745893,-121.89989814523501
Broker C,Condo,398185,4,2,3636,398 Main St,NY,398 Main St,County B,City B,District C,Pine Blvd,Property 398,"398 Main St, City A, CA",37.903878907927165,-121.96886346093292
Broker C,Condo,975352,2,1,3818,399 Main St,NY,399 Main St,County C,City A,District C,Main St,Property 399,"399 Main St, City A, CA",38.243361237087086,-122.4077551004969
Broker C,Condo,427825,1,2,3282,400 Main St,NY,400 Main St,County A,City C,District A,Pine Blvd,Property 400,"400 Main St, City A, CA",38.37320607569602,-121.86258785685925
Broker B,Single Family,334386,5,1,1490,401 Main St,WA,401 Main St,County A,City A,District C,Oak Ave,Property 401,"401 Main St, City A, CA",37.80587060342251,-121.75787567585382
Broker B,Single Family,443715,1,1,2653,402 Main St,NY,402 Main St,County C,City C,District B,Pine Blvd,Property 402,"402 Main St, City A, CA",38.04979565825709,-121.82748559558092
Broker C,Condo,296553,5,1,725,403 Main St,FL,403 Main St,County B,City A,District C,Oak Ave,Property 403,"403 Main St, City A, CA",37.8076998742769,-121.68312010121657
Broker C,Townhouse,561792,1,1,1276,404 Main St,WA,404 Main St,County C,City C,District C,Main St,Property 404,"404 Main St, City A, CA",38.1952353891955,-121.84806047154692
Broker B,Single Family,601174,4,4,3337,405 Main St,NY,405 Main St,County B,City A,District A,Oak Ave,Property 405,"405 Main St, City A, CA",38.670000029066244,-122.35264974514924
Broker C,Townhouse,884625,3,2,1187,406 Main St,CA,406 Main St,County B,City C,District B,Oak Ave,Property 406,"406 Main St, City A, CA",38.75755241149357,-122.30295447591529
Broker A,Condo,751844,3,2,1029,407 Main St,TX,407 Main St,County C,City C,District A,Oak Ave,Property 407,"407 Main St, City A, CA",38.41194755350363,-121.82292542245604
Broker B,Condo,295246,2,1,3942,408 Main St,TX,408 Main St,County B,City C,District C,Main St,Property 408,"408 Main St, City A, CA",37.936537693784594,-122.14442080802635
Broker C,Single Family,650448,5,1,2653,409 Main St,TX,409 Main St,County A,City C,District A,Main St,Property 409,"409 Main St, City A, CA",38.680749389999306,-122.33975487096524
Broker B,Condo,346242,5,2,1794,410 Main St,WA,410 Main St,County C,City C,District A,Main St,Property 410,"410 Main St, City A, CA",38.29114782320006,-121.98979725655146
Broker A,Single Family,611083,5,4,2026,411 Main St,NY,411 Main St,County B,City B,District A,Main St,Property 411,"411 Main St, City A, CA",37.92864931210292,-121.86507740191634
Broker B,Condo,117633,4,3,3396,412 Main St,WA,412 Main St,County A,City C,District A,Pine Blvd,Property 412,"412 Main St, City A, CA",38.69662666945166,-122.09065401165039
Broker B,Condo,903446,5,3,3603,413 Main St,FL,413 Main St,County C,City B,District C,Main St,Property 413,"413 Main St, City A, CA",38.532369050723105,-121.69896629777422
Broker B,Single Family,966964,3,2,2940,414 Main St,CA,414 Main St,County A,City C,District C,Oak Ave,Property 414,"414 Main St, City A, CA",38.50660527272316,-121.77562939189875
Broker B,Single Family,149104,4,1,4635,415 Main St,CA,415 Main St,County A,City B,District B,Main St,Property 415,"415 Main St, City A, CA",38.484080703794405,-122.08658163890833
Broker A,Single Family,963663,1,1,4302,416 Main St,TX,416 Main St,County A,City B,District A,Pine Blvd,Property 416,"416 Main St, City A, CA",37.975239821096444,-121.66452747109143
Broker B,Condo,168388,5,4,1344,417 Main St,TX,417 Main St,County B,City A,District A,Pine Blvd,Property 417,"417 Main St, City A, CA",37.98590669170753,-121.77070495746696
Broker B,Condo,640302,5,3,946,418 Main St,TX,418 Main St,County C,City C,District B,Pine Blvd,Property 418,"418 Main St, City A, CA",38.46319299842726,-121.7819546212821
Broker C,Townhouse,192578,1,4,4415,419 Main St,NY,419 Main St,County C,City A,District A,Oak Ave,Property 419,"419 Main St, City A, CA",37.9946227501104,-121.86597229921293
Broker B,Single Family,789115,5,3,3609,420 Main St,FL,420 Main St,County B,City A,District B,Main St,Property 420,"420 Main St, City A, CA",38.21357169680305,-122.40801033191144
Broker C,Condo,664678,1,2,1734,421 Main St,FL,421 Main St,County C,City C,District C,Main St,Property 421,"421 Main St, City A, CA",38.55690182559395,-121.72289281652311
Broker A,Condo,385855,4,3,726,422 Main St,FL,422 Main St,County A,City A,District B,Main St,Property 422,"422 Main St, City A, CA",38.558852518097844,-122.04335820889084
Broker A,Single Family,191658,3,4,4643,423 Main St,FL,423 Main St,County C,City C,District A,Oak Ave,Property 423,"423 Main St, City A, CA",38.228161772525866,-121.47679028984135
Broker A,Townhouse,157993,1,4,3459,424 Main St,TX,424 Main St,County B,City A,District B,Oak Ave,Property 424,"424 Main St, City A, CA",38.567089938275245,-121.60141522892279
Broker A,Single Family,305768,2,4,2330,425 Main St,CA,425 Main St,County A,City C,District C,Pine Blvd,Property 425,"425 Main St, City A, CA",38.61352179619806,-121.83170553046868
Broker C,Townhouse,258285,1,2,4279,426 Main St,TX,426 Main St,County B,City C,District A,Pine Blvd,Property 426,"426 Main St, City A, CA",38.429675751284265,-122.16721801818073
Broker B,Condo,871148,5,3,686,427 Main St,FL,427 Main St,County A,City C,District C,Main St,Property 427,"427 Main St, City A, CA",38.00332585230842,-122.21568260672232
Broker A,Townhouse,551000,4,3,3377,428 Main St,TX,428 Main St,County A,City B,District C,Oak Ave,Property 428,"428 Main St, City A, CA",38.04891178038555,-122.07901516232245
Broker B,Condo,893853,4,4,3035,429 Main St,FL,429 Main St,County C,City A,District B,Oak Ave,Property 429,"429 Main St, City A, CA",38.08974115540874,-121.94283205641997
Broker C,Single Family,842296,1,3,2432,430 Main St,WA,430 Main St,County A,City B,District C,Main St,Property 430,"430 Main St, City A, CA",37.89170410773396,-122.12333448996105
Broker C,Single Family,642015,3,1,3424,431 Main St,CA,431 Main St,County B,City A,District A,Main St,Property 431,"431 Main St, City A, CA",38.04805962036995,-121.90447050460752
Broker C,Single Family,998850,2,1,1348,432 Main St,WA,432 Main St,County C,City A,District C,Pine Blvd,Property 432,"432 Main St, City A, CA",37.98441922431253,-122.25402957448681
Broker A,Townhouse,628646,4,1,2532,433 Main St,NY,433 Main St,County B,City A,District C,Pine Blvd,Property 433,"433 Main St, City A, CA",38.2302287498086,-121.4416871871745
Broker B,Condo,427252,5,3,1752,434 Main St,TX,434 Main St,County A,City B,District B,Pine Blvd,Property 434,"434 Main St, City A, CA",38.68333754787227,-122.311475445035
Broker B,Single Family,357681,5,2,2381,435 Main St,NY,435 Main St,County B,City A,District C,Main St,Property 435,"435 Main St, City A, CA",37.87938031675396,-121.48745586034562
Broker B,Single Family,194018,3,2,769,436 Main St,TX,436 Main St,County B,City B,District B,Main St,Property 436,"436 Main St, City A, CA",38.4951679239474,-121.5058219885973
Broker C,Condo,486601,4,2,2130,437 Main St,WA,437 Main St,County A,City C,District B,Pine Blvd,Property 437,"437 Main St, City A, CA",38.46218300441313,-121.89403951818049
Broker A,Single Family,394054,1,2,4905,438 Main St,FL,438 Main St,County C,City A,District A,Pine Blvd,Property 438,"438 Main St, City A, CA",37.87065419866336,-121.69448972816392
Broker C,Condo,751176,5,1,3703,439 Main St,FL,439 Main St,County B,City A,District A,Oak Ave,Property 439,"439 Main St, City A, CA",38.6974724049058,-121.9833517020274
Broker C,Condo,329104,3,1,2074,440 Main St,TX,440 Main St,County A,City C,District A,Oak Ave,Property 440,"440 Main St, City A, CA",38.34337220215682,-121.78936542245756
Broker B,Condo,942186,4,4,3392,441 Main St,FL,441 Main St,County C,City C,District A,Pine Blvd,Property 441,"441 Main St, City A, CA",38.13862552113569,-122.07882406257887
Broker C,Condo,293510,4,3,2195,442 Main St,WA,442 Main St,County C,City A,District B,Pine Blvd,Property 442,"442 Main St, City A, CA",38.53143858349531,-122.11824098021455
Broker B,Condo,209847,4,3,3758,443 Main St,FL,443 Main St,County C,City C,District C,Oak Ave,Property 443,"443 Main St, City A, CA",38.03226545840164,-121.84117021383048
Broker A,Townhouse,544717,4,2,3762,444 Main St,WA,444 Main St,County B,City B,District A,Pine Blvd,Property 444,"444 Main St, City A, CA",38.46840983704632,-121.92127032581601
Broker B,Single Family,554162,4,1,1945,445 Main St,NY,445 Main St,County B,City B,District A,Oak Ave,Property 445,"445 Main St, City A, CA",37.81461120757225,-121.83986363085002
Broker A,Townhouse,924899,5,2,719,446 Main St,WA,446 Main St,County B,City A,District A,Oak Ave,Property 446,"446 Main St, City A, CA",38.61430803760928,-122.13273941871297
Broker B,Single Family,396037,3,4,552,447 Main St,CA,447 Main St,County C,City B,District C,Oak Ave,Property 447,"447 Main St, City A, CA",38.22307084702132,-122.052442168183
Broker C,Townhouse,176329,4,3,2257,448 Main St,CA,448 Main St,County B,City B,District A,Main St,Property 448,"448 Main St, City A, CA",38.411592914357946,-122.3355020393711
Broker C,Condo,131007,2,3,2166,449 Main St,CA,449 Main St,County A,City A,District C,Main St,Property 449,"449 Main St, City A, CA",37.996137819806684,-122.36712362772779
Broker A,Single Family,794892,2,2,3285,450 Main St,TX,450 Main St,County B,City C,District B,Pine Blvd,Property 450,"450 Main St, City A, CA",38.45197371265845,-122.16594287032699
Broker A,Single Family,416397,3,4,1219,451 Main St,TX,451 Main St,County B,City A,District B,Oak Ave,Property 451,"451 Main St, City A, CA",38.54714027589328,-122.34515314066945
Broker A,Townhouse,112323,1,3,905,452 Main St,TX,452 Main St,County C,City B,District B,Main St,Property 452,"452 Main St, City A, CA",38.2481131868844,-122.31562529136525
Broker B,Townhouse,997767,1,4,2794,453 Main St,WA,453 Main St,County B,City A,District C,Pine Blvd,Property 453,"453 Main St, City A, CA",38.392626924061794,-121.60647159460606
Broker B,Single Family,212356,1,4,571,454 Main St,TX,454 Main St,County A,City A,District A,Pine Blvd,Property 454,"454 Main St, City A, CA",38.2312259238224,-122.38052630298331
Broker A,Townhouse,735232,2,2,2553,455 Main St,NY,455 Main St,County C,City B,District A,Pine Blvd,Property 455,"455 Main St, City A, CA",38.668991369257846,-121.76045720606525
Broker C,Townhouse,304451,1,1,1729,456 Main St,CA,456 Main St,County A,City B,District A,Pine Blvd,Property 456,"456 Main St, City A, CA",38.272769180514324,-122.1468422511846
Broker B,Townhouse,378600,5,2,2067,457 Main St,WA,457 Main St,County C,City A,District A,Pine Blvd,Property 457,"457 Main St, City A, CA",38.61670870902882,-121.54785431929187
Broker B,Condo,655655,4,1,4182,458 Main St,CA,458 Main St,County C,City B,District A,Oak Ave,Property 458,"458 Main St, City A, CA",38.57625205827025,-121.9344077154225
Broker B,Condo,154624,2,4,3453,459 Main St,TX,459 Main St,County B,City B,District C,Pine Blvd,Property 459,"459 Main St, City A, CA",38.18540482134836,-122.11382354067217
Broker A,Townhouse,503322,3,1,4982,460 Main St,WA,460 Main St,County A,City B,District B,Oak Ave,Property 460,"460 Main St, City A, CA",38.00498449185748,-121.90176106431056
Broker A,Townhouse,334565,3,4,1198,461 Main St,FL,461 Main St,County C,City B,District A,Main St,Property 461,"461 Main St, City A, CA",38.18098213255978,-122.03744198095472
Broker A,Condo,168008,4,3,1326,462 Main St,NY,462 Main St,County B,City B,District B,Pine Blvd,Property 462,"462 Main St, City A, CA",38.601117375775225,-121.85509893533016
Broker A,Condo,477539,2,3,848,463 Main St,TX,463 Main St,County C,City B,District C,Main St,Property 463,"463 Main St, City A, CA",38.0025325358194,-122.30486713167365
Broker A,Single Family,216492,1,3,4408,464 Main St,TX,464 Main St,County C,City C,District C,Oak Ave,Property 464,"464 Main St, City A, CA",38.29933634585775,-121.42240949718745
Broker C,Single Family,172240,1,2,807,465 Main St,NY,465 Main St,County C,City A,District A,Oak Ave,Property 465,"465 Main St, City A, CA",38.58099674796075,-121.99384412230327
Broker C,Condo,426459,5,2,3916,466 Main St,NY,466 Main St,County C,City B,District C,Main St,Property 466,"466 Main St, City A, CA",38.12837747512838,-122.07116936029263
Broker A,Townhouse,825947,5,4,2834,467 Main St,FL,467 Main St,County C,City A,District B,Pine Blvd,Property 467,"467 Main St, City A, CA",38.4171096370027,-121.70919015168373
Broker B,Townhouse,372900,1,3,3309,468 Main St,TX,468 Main St,County C,City C,District A,Pine Blvd,Property 468,"468 Main St, City A, CA",38.02053157404882,-122.05550059350466
Broker A,Townhouse,561227,3,2,4058,469 Main St,TX,469 Main St,County B,City B,District A,Main St,Property 469,"469 Main St, City A, CA",37.88417944536816,-121.58612569497124
Broker C,Townhouse,398522,3,3,4978,470 Main St,CA,470 Main St,County C,City A,District B,Main St,Property 470,"470 Main St, City A, CA",38.56928422509286,-121.96512927563957
Broker C,Single Family,235327,5,2,3977,471 Main St,WA,471 Main St,County A,City B,District A,Main St,Property 471,"471 Main St, City A, CA",37.87386862340871,-121.69984158673456
Broker B,Condo,749991,4,1,3186,472 Main St,WA,472 Main St,County B,City B,District A,Pine Blvd,Property 472,"472 Main St, City A, CA",38.04628139507959,-122.31194678355811
Broker C,Townhouse,942981,1,1,3485,473 Main St,CA,473 Main St,County A,City B,District B,Pine Blvd,Property 473,"473 Main St, City A, CA",38.63000942199744,-121.57328081444489
Broker A,Single Family,265575,5,3,775,474 Main St,WA,474 Main St,County C,City B,District A,Pine Blvd,Property 474,"474 Main St, City A, CA",38.12136928707867,-121.68368201322188
Broker B,Townhouse,960226,5,4,3047,475 Main St,NY,475 Main St,County A,City B,District A,Main St,Property 475,"475 Main St, City A, CA",38.74794534951416,-122.20768322153803
Broker A,Condo,599499,1,2,3264,476 Main St,WA,476 Main St,County C,City B,District B,Pine Blvd,Property 476,"476 Main St, City A, CA",38.75463433477386,-122.27411399025421
Broker A,Single Family,593948,1,2,836,477 Main St,WA,477 Main St,County C,City B,District C,Oak Ave,Property 477,"477 Main St, City A, CA",38.04317602045356,-122.10310765127437
Broker B,Condo,407257,3,1,2473,478 Main St,CA,478 Main St,County B,City C,District B,Main St,Property 478,"478 Main St, City A, CA",37.81587822224989,-121.44332941396809
Broker A,Condo,698357,4,1,3479,479 Main St,FL,479 Main St,County B,City C,District A,Pine Blvd,Property 479,"479 Main St, City A, CA",38.47996328420538,-122.16256842543294
Broker C,Single Family,329189,4,4,4468,480 Main St,WA,480 Main St,County C,City B,District B,Main St,Property 480,"480 Main St, City A, CA",38.22588650264834,-121.96327279105336
Broker A,Single Family,498465,1,4,1410,481 Main St,WA,481 Main St,County B,City B,District A,Oak Ave,Property 481,"481 Main St, City A, CA",37.87565284395958,-122.38937977428266
Broker B,Single Family,351051,2,4,2496,482 Main St,FL,482 Main St,County A,City C,District A,Oak Ave,Property 482,"482 Main St, City A, CA",38.482422818978044,-122.02217247043376
Broker B,Single Family,749829,5,3,3629,483 Main St,CA,483 Main St,County B,City C,District B,Main St,Property 483,"483 Main St, City A, CA",37.80607490911192,-121.8480799845669
Broker B,Single Family,813936,5,1,4704,484 Main St,FL,484 Main St,County B,City C,District A,Main St,Property 484,"484 Main St, City A, CA",38.645096690492245,-121.46627538749203
Broker A,Single Family,611778,1,3,4257,485 Main St,CA,485 Main St,County A,City B,District C,Oak Ave,Property 485,"485 Main St, City A, CA",37.9135525291133,-121.90266395505994
